6967,5
3626bpb0004,0.54
4885,10
4066,7.85
3437,6.75
4424,3.24
30304,0.3
33211,2.2
30263,7.91
32084,8.2
30249,6.6
30284,0.23
3835,0.24
2542,0.38
30129,2.44
33009,0.82
3069bpa1,0.26
3069bp03,0.26
3069bpx23,0.26
3229,3.06
3230,2.66
6086,6
4496,0.58
6684,5.3
6193,16.8
33210,4.6
30562px2,5.33
3901,0.3
30101,7.08
4891,5
4916pb02,7
4121,5
30174,0.65
30089,0.35
3898,0.75
4530,0.34
71598,1.59
6030,1.49
30593,2.42
30375,0.5
2544,0.8
30569,5
3836,0.44
30562,5.62
30339,5.55
52,0.5
30294,3
6870,7
6939,12
33195,12
33179,122
33022,0.34
6694,8
6695,3.5
6693,15
33089,3.68
33037,17.3
33036,31.3
6944,2.3
6881,3.3
6995,0.5
6890pb01c01,260
6906,60
6953,7
6904,10
6891pb01c01,230
6943,5
33045,14
6859,36
30501,16.33
30492,15.25
30502,48.33
30493,7.67
30488,2
30488c01,2.75
3678ap01,1.75
30518,13
30517,6.79
32184,0.64
32291,0.6
32324,4.25
32133ac01,4
32074c01,7.15
32305,10.2
32333,2.9
32219,5.41
32225,23.06
32213,11.78
32207,0.81
32221,1.8
32218,9.28
32216,16.24
32208,7.4
32229,4.83
32204,3.58
32214,7.58
32206,3.97
32230,3.73
32205,2.82
30536,5.05
30497,11
22969,20.56
30324,11.5
32193,3.33
32020,6.71
32197,18
22253,7.2
30285,1.5
32298,170
32196,49
2902,19.34
32019,26.5
32180,22.17
3403c01,4.5
251c01,0.76
3680c01,0.65
30187u,4
30190,0.8
30189,1.05
32085,15.54
60c01,2.64
6585,4.5
32173,2.64
32311,4.13
32079,2.95
32278,4
32250,1.44
32307,3.46
32308,4.4
32306,2.97
32251,2.29
32527,1.62
32528,1.62
32534,3.38
32535,3.38
32293,1.11
2952,1.24
2715,1.7
2716,0.3
3650,1.03
32008,1.05
6644,0.28
6642,0.48
6643,0.28
2901,0.22
2900,0.15
75,?
32077,12.1
32195b,1.9
2737,1.4
32448,33
32012,1.07
78,?
731c01,1.55
32078,33.75
4267,24.44
680c01,14.25
2515,20.01
70001pb01,1.2
2867,17.04
2859,65.56
2861,65.56
32087,26
30390,2.57
3070bp01,0.13
30378,0.2
30363px1,1.83
973p38c01,1.25
973ps4c01,1.25
2857,13.06
2996,9.25
2997,48
3009pt1,2.42
3010p42,1.64
3037px8,2.13
3069bp02,0.26
3069bp61,0.26
3230b,3.1
3492,1.14
3493,3.22
3846p48,0.42
3939p90,3.32
3939p91,3.32
3960p01,1.19
4066pb009,8
4150p02,0.33
4150p40,0.33
4150ps5,0.33
4150ps3,0.33
4150ps1,0.33
4150ps2,0.33
4150ps4,0.33
4196,55.3
4198,14
4346px4,0.8
4672,28.2
4697a,0.14
4858p90,2.66
6002,15.6
6050,41.48
6051,41.48
6052,36.23
6053,36.23
6161,110.04
6198,4
6265,0.14
6394,22
7852,7
30102px1,3.94
30116pb01,25
30388,3.29
3069bp80,0.26
3069bpx7,0.26
2431px9,0.53
3068bpb0018,0.45
3068bpb0016,0.45
3069bpx6,0.26
3069bpx37,0.26
4497u,0.43
4498,0.37
4499,0.33
70942,0.42
4504,1.1
4507,1.13
4509,4.76
4510,1.8
4511,4.5
4515,7.1
4515p02,7
4517,2.4
4518a,2
4519,0.43
4522,0.28
4523,0.67
4524,0.21
4528,0.32
